year,community_area,comm_pop,community,commarea_km2
2024,20,22576.0,HERMOSA,32.60205939915233
2024,21,35533.0,AVONDALE,55.29059546222403
2024,22,71160.0,LOGAN SQUARE,100.05756668057336
2024,23,56153.0,HUMBOLDT PARK,100.48087648273764
2024,24,88197.0,WEST TOWN,127.56290457232984
2024,25,97452.0,AUSTIN,199.25420338818205
2024,26,15096.0,WEST GARFIELD PARK,36.09284880796031
2024,27,20731.0,EAST GARFIELD PARK,53.88322083574582
2024,28,68165.0,NEAR WEST SIDE,158.49246652347665
2024,29,33958.0,NORTH LAWNDALE,89.48742200680012
2024,30,69884.0,SOUTH LAWNDALE,127.99829784190968
2024,31,33446.0,LOWER WEST SIDE,81.55072362189355
2024,32,42550.0,LOOP,46.3355654497116
2024,33,30482.0,NEAR SOUTH SIDE,49.769639444136615
2024,34,13848.0,ARMOUR SQUARE,27.766196090094883
2024,35,21088.0,DOUGLAS,46.004621149279
2024,36,6937.0,OAKLAND,16.913961037490527
2024,37,2270.0,FULLER PARK,19.916704865338488
2024,38,25181.0,GRAND BOULEVARD,48.49250314605212
2024,39,18417.0,KENWOOD,29.071741922715727
2024,40,12313.0,WASHINGTON PARK,42.37388147613499
2024,41,30599.0,HYDE PARK,45.10538016450888
2024,42,24355.0,WOODLAWN,57.81517950095547
2024,43,53034.0,SOUTH SHORE,81.81271638009841
2024,44,29895.0,CHATHAM,82.32067029535114
2024,45,9071.0,AVALON PARK,34.852737729948345
2024,46,27551.0,SOUTH CHICAGO,93.2721849914544
2024,47,2304.0,BURNSIDE,16.995983270423185
2024,48,11229.0,CALUMET HEIGHTS,48.82624155505823
2024,49,36635.0,ROSELAND,134.31370670490057
2024,50,6744.0,PULLMAN,59.00155559069487
2024,51,12854.0,SOUTH DEERING,303.79705960132867
2024,52,22687.0,EAST SIDE,83.24172803329057
2024,53,24549.0,WEST PULLMAN,99.36519806341394
2024,54,7518.0,RIVERDALE,98.38949739579031
2024,55,8853.0,HEGEWISCH,145.96574140897752
2024,56,36732.0,GARFIELD RIDGE,117.89077840626808
2024,57,13414.0,ARCHER HEIGHTS,55.92250571042751
2024,58,42994.0,BRIGHTON PARK,75.89279029683405
2024,59,14854.0,MCKINLEY PARK,39.431799640295466
2024,60,33675.0,BRIDGEPORT,58.29151926539481
2024,61,40140.0,NEW CITY,134.6369632279751
2024,62,17901.0,WEST ELSDON,32.71109141959873
2024,63,36081.0,GAGE PARK,61.28489610145672
2024,64,23629.0,CLEARING,71.14519236904174
2024,65,31942.0,WEST LAWN,82.3153016672832
2024,66,54409.0,CHICAGO LAWN,98.27946509626284
2024,67,28144.0,WEST ENGLEWOOD,87.94769193108257
2024,68,23195.0,ENGLEWOOD,85.65232306609218
2024,69,29143.0,GREATER GRAND CROSSING,98.85316769023828
2024,70,42007.0,ASHBURN,135.46033718240324
2024,71,43779.0,AUBURN GRESHAM,105.06535358129682
2024,72,19521.0,BEVERLY,88.7793639211539
2024,73,24851.0,WASHINGTON HEIGHTS,79.63575286171745
2024,74,19059.0,MOUNT GREENWOOD,75.58429000631087
2024,75,20865.0,MORGAN PARK,91.877340681314
2024,76,14145.0,OHARE,371.8356076134321
2024,77,56563.0,EDGEWATER,48.449990830225794
