year,community_area,comm_pop,community,commarea_km2,other1,property1,public_order1,violent1,malepop,male15_19pop,male15_24pop,male15_29pop,allwhitepop,allblackpop
2021,32,39834.0,LOOP,46.3355654497116,214,3680,396,1321,19899,808,2626,6832,26508,3677
2021,33,26816.0,NEAR SOUTH SIDE,49.769639444136615,122,1014,126,583,12352,78,441,2032,16046,6256
2021,34,13284.0,ARMOUR SQUARE,27.766196090094883,29,606,56,240,6134,252,578,852,2805,1146
2021,35,21278.0,DOUGLAS,46.004621149279,173,1179,160,774,9873,848,2196,3601,3319,14547
2021,36,7413.0,OAKLAND,16.913961037490527,52,308,30,202,3009,329,449,539,549,6647
2021,37,2213.0,FULLER PARK,19.916704865338488,38,265,51,208,1091,80,194,212,327,1868
2021,38,24401.0,GRAND BOULEVARD,48.49250314605212,233,1369,240,974,9998,724,1157,1993,1835,22431
2021,39,18492.0,KENWOOD,29.071741922715727,116,750,63,400,8523,409,1019,1891,4699,12947
2021,40,11607.0,WASHINGTON PARK,42.37388147613499,174,855,153,786,5411,675,951,1267,505,11110
2021,41,28801.0,HYDE PARK,45.10538016450888,95,1151,45,430,13132,1144,3294,5229,16283,8079
2021,42,23966.0,WOODLAWN,57.81517950095547,215,1338,273,1057,11043,927,2161,3206,3164,19878
2021,43,54209.0,SOUTH SHORE,81.81271638009841,553,3479,513,2937,24795,1172,2523,4870,2372,51316
2021,44,32486.0,CHATHAM,82.32067029535114,346,2685,420,1925,14500,821,1650,2902,584,32031
2021,45,9782.0,AVALON PARK,34.852737729948345,91,521,126,395,4126,504,584,765,271,9315
2021,46,30399.0,SOUTH CHICAGO,93.2721849914544,288,1688,267,1463,13735,894,2142,3187,5186,22584
2021,47,2652.0,BURNSIDE,16.995983270423185,21,158,24,127,1123,32,142,185,121,2535
2021,48,12843.0,CALUMET HEIGHTS,48.82624155505823,89,697,134,413,5352,161,379,729,356,12333
2021,49,39128.0,ROSELAND,134.31370670490057,416,2472,611,1923,18282,1047,2369,4019,1277,38010
2021,50,7147.0,PULLMAN,59.00155559069487,71,470,97,302,2823,163,434,722,1189,5720
2021,51,15198.0,SOUTH DEERING,303.79705960132867,116,703,99,549,6649,697,1032,1375,4617,9581
2021,52,24429.0,EAST SIDE,83.24172803329057,84,482,80,371,11842,853,1806,2443,16643,862
2021,53,26951.0,WEST PULLMAN,99.36519806341394,254,1687,404,1219,12476,940,1875,3158,1706,25048
2021,54,7934.0,RIVERDALE,98.38949739579031,81,473,95,476,2967,271,616,949,222,7712
2021,55,9243.0,HEGEWISCH,145.96574140897752,56,314,27,221,4579,371,706,975,6898,731
2021,56,36704.0,GARFIELD RIDGE,117.89077840626808,109,940,127,396,18642,1146,2105,2930,27995,1667
2021,57,13591.0,ARCHER HEIGHTS,55.92250571042751,41,383,41,215,7456,800,1254,1798,9656,255
2021,58,43197.0,BRIGHTON PARK,75.89279029683405,136,858,116,693,21604,1234,2803,5141,21908,975
2021,59,15558.0,MCKINLEY PARK,39.431799640295466,47,392,53,224,7623,542,1199,1867,6984,469
2021,60,34427.0,BRIDGEPORT,58.29151926539481,79,762,89,350,17477,748,1765,3630,16917,1162
2021,61,39573.0,NEW CITY,134.6369632279751,263,1503,366,1422,20508,1789,3175,4526,17559,9596
2021,62,18022.0,WEST ELSDON,32.71109141959873,48,427,47,184,9020,582,1172,2117,11199,152
2021,63,35621.0,GAGE PARK,61.28489610145672,130,835,143,597,17843,1496,2948,4817,20199,1999
2021,64,25507.0,CLEARING,71.14519236904174,104,502,42,290,13224,846,1694,2817,19379,645
2021,65,32398.0,WEST LAWN,82.3153016672832,89,736,48,399,16971,1751,2870,4043,20760,1018
2021,66,51169.0,CHICAGO LAWN,98.27946509626284,370,2137,433,1708,24913,1819,3840,5914,18321,21724
2021,67,26282.0,WEST ENGLEWOOD,87.94769193108257,354,2014,639,1985,12615,992,1711,2331,2096,22502
2021,68,21054.0,ENGLEWOOD,85.65232306609218,383,1861,595,1934,9917,819,1359,2062,1247,19596
2021,69,29309.0,GREATER GRAND CROSSING,98.85316769023828,358,2508,587,2212,12605,1143,2009,3189,999,28465
2021,70,44215.0,ASHBURN,135.46033718240324,186,996,99,540,21656,1787,3228,4410,14885,19805
2021,71,48039.0,AUBURN GRESHAM,105.06535358129682,410,2854,605,2213,22037,1205,2654,4280,1017,45740
2021,72,19919.0,BEVERLY,88.7793639211539,69,478,47,210,9403,462,1113,1484,12440,7093
2021,73,26676.0,WASHINGTON HEIGHTS,79.63575286171745,223,1276,241,837,11506,961,1683,2434,774,25994
2021,74,19477.0,MOUNT GREENWOOD,75.58429000631087,58,329,18,103,9619,779,1475,1985,18322,636
2021,75,21627.0,MORGAN PARK,91.877340681314,135,952,139,541,10184,789,1326,1945,7691,14103
2021,76,13418.0,OHARE,371.8356076134321,94,736,304,323,7095,164,467,1163,9929,1123
2021,77,58084.0,EDGEWATER,48.449990830225794,122,1539,84,731,29805,982,2840,5891,40780,8563
2022,1,55711.0,ROGERS PARK,51.25990244057384,251,2392,228,1192,26935,1450,3351,5427,32374,15943
2022,2,79265.0,WEST RIDGE,98.4290948429624,211,2601,176,991,40290,3266,5274,8164,44633,11529
2022,3,57464.0,UPTOWN,65.09564271609112,211,2452,168,1055,29772,643,2470,6859,37516,12246
2022,4,42271.0,LINCOLN SQUARE,71.35232822594875,122,1307,101,496,20311,837,1632,3370,33173,1950
2022,5,35814.0,NORTH CENTER,57.05416783863191,79,1012,56,235,17943,699,1253,2651,31471,1504
2022,6,101739.0,LAKE VIEW,87.21479925558447,221,4204,250,1203,52457,890,6598,17736,86704,5455
2022,7,69099.0,LINCOLN PARK,88.31640045539218,124,2782,143,505,34137,2128,5697,11661,60163,3044
2022,8,101208.0,NEAR NORTH SIDE,76.67589595801923,323,7168,804,2358,48842,788,5274,15089,76660,7651
2022,9,11402.0,EDISON PARK,31.63631378020181,27,174,16,86,5464,265,440,695,10657,230
2022,10,39326.0,NORWOOD PARK,121.95910544621267,104,810,51,313,19131,1210,1963,3086,33997,601
2022,11,27032.0,JEFFERSON PARK,64.86816166921948,89,682,56,260,13131,699,1346,2182,20561,1019
2022,12,19855.0,FOREST GLEN,89.13089361873274,28,452,36,102,9825,472,841,1244,16680,287
2022,13,19398.0,NORTH PARK,70.28870642060181,50,621,50,273,8657,521,1025,1681,11605,611
2022,14,47663.0,ALBANY PARK,53.54223080864773,164,1226,143,667,24273,1949,4086,5998,29348,2974
2022,15,64213.0,PORTAGE PARK,110.19609711747748,301,1681,181,871,31812,1978,4185,6053,45677,1804
2022,16,53584.0,IRVING PARK,89.61138229311392,213,1578,157,670,26794,1126,2392,4268,37907,3071
2022,17,42574.0,DUNNING,103.5950011545707,163,960,67,432,20750,1044,2184,3244,33219,2035
2022,18,13765.0,MONTCLARE,27.57639362717424,57,416,36,158,6714,428,835,1271,8395,1219
2022,19,73991.0,BELMONT CRAGIN,109.09941466771691,382,2145,326,1260,36735,3164,5820,8343,40790,4610
2022,20,23157.0,HERMOSA,32.60205939915233,99,728,108,393,11869,1002,1910,2562,12930,1414
2022,21,36374.0,AVONDALE,55.29059546222403,129,1253,95,522,17791,781,2293,4151,25325,2255
2022,22,71220.0,LOGAN SQUARE,100.05756668057336,261,2856,154,850,35220,1243,3428,9051,57026,6342
2022,23,55416.0,HUMBOLDT PARK,100.48087648273764,441,2868,975,1872,26083,2177,3964,6493,20841,20887
2022,24,86514.0,WEST TOWN,127.56290457232984,336,5284,340,1304,43767,793,3156,11759,70278,7794
2022,25,100120.0,AUSTIN,199.25420338818205,826,6124,1385,3962,47886,3871,7170,10563,15935,75370
2022,26,16374.0,WEST GARFIELD PARK,36.09284880796031,186,1612,1004,1226,8399,402,986,1571,636,15173
2022,27,19901.0,EAST GARFIELD PARK,53.88322083574582,234,1787,482,1303,8896,631,1391,2348,2112,17379
2022,28,65581.0,NEAR WEST SIDE,158.49246652347665,473,6423,550,2094,32247,1789,4744,9831,34528,17810
2022,29,30409.0,NORTH LAWNDALE,89.48742200680012,411,2933,1145,2288,13508,1186,2354,3508,3413,24498
2022,30,69708.0,SOUTH LAWNDALE,127.99829784190968,264,1785,413,1387,39528,2702,6526,10953,35316,9318
2022,31,34237.0,LOWER WEST SIDE,81.55072362189355,143,1707,209,809,17202,748,1963,4182,19320,1491
2022,32,41671.0,LOOP,46.3355654497116,252,5673,503,1640,20806,1032,2800,7171,27312,4167
2022,33,28216.0,NEAR SOUTH SIDE,49.769639444136615,136,1552,179,663,13761,257,662,2071,16656,7152
2022,34,13193.0,ARMOUR SQUARE,27.766196090094883,39,709,101,304,6058,281,727,1087,2843,1569
