year,namelsad,tractpop,geoid,tractce,community_area,weight,comm_pop,pop_share,community,commarea_km2
2020,Census Tract 8392,2434.0,17031839200,839200,35,1.0,21450.0,0.1134731934731934,DOUGLAS,46.004621149279
2020,Census Tract 8355,1356.0,17031835500,835500,37,1.0,2149.0,0.6309911586784551,FULLER PARK,19.916704865338488
2020,Census Tract 701.01,3848.0,17031070101,70101,7,1.0,69568.0,0.0553127874885004,LINCOLN PARK,88.31640045539218
2020,Census Tract 1105.01,5076.0,17031110501,110501,11,1.0,27194.0,0.1866588217989262,JEFFERSON PARK,64.86816166921948
2020,Census Tract 301.04,3425.0,17031030104,30104,77,1.0,58693.0,0.058354488610226,EDGEWATER,48.449990830225794
2020,Census Tract 814.01,2039.0,17031081401,81401,8,1.0,95405.0,0.0213720454902782,NEAR NORTH SIDE,76.67589595801923
2020,Census Tract 4301.02,3627.0,17031430102,430102,43,1.0,51992.0,0.0697607324203723,SOUTH SHORE,81.81271638009841
2020,Census Tract 4301.01,2826.0,17031430101,430101,43,1.0,51992.0,0.0543545160793968,SOUTH SHORE,81.81271638009841
2020,Census Tract 2521.01,1289.0,17031252101,252101,25,1.0,95073.0,0.01355800279785,AUSTIN,199.25420338818205
2020,Census Tract 105.01,4039.0,17031010501,10501,1,1.0,55643.0,0.0725877468864008,ROGERS PARK,51.25990244057384
2020,Census Tract 207.01,1764.0,17031020701,20701,2,1.0,78763.0,0.0223963028325482,WEST RIDGE,98.4290948429624
2020,Census Tract 102.01,7488.0,17031010201,10201,1,1.0,55643.0,0.1345721833833546,ROGERS PARK,51.25990244057384
2020,Census Tract 7608.01,5012.0,17031760801,760801,76,1.0,13285.0,0.377267595031991,OHARE,371.8356076134321
2020,Census Tract 8390,10026.0,17031839000,839000,32,1.0,39327.0,0.2549393546418491,LOOP,46.3355654497116
2020,Census Tract 4402.01,5918.0,17031440201,440201,44,1.0,31363.0,0.1886936836399579,CHATHAM,82.32067029535114
2020,Census Tract 5401.01,4219.0,17031540101,540101,54,1.0,7414.0,0.5690585379012679,RIVERDALE,98.38949739579031
2020,Census Tract 8340,3187.0,17031834000,834000,49,1.0,39623.0,0.0804330817959266,ROSELAND,134.31370670490057
2020,Census Tract 8339,2696.0,17031833900,833900,46,1.0,29977.0,0.0899356173066017,SOUTH CHICAGO,93.2721849914544
2020,Census Tract 2210,2754.0,17031221000,221000,22,1.0,71247.0,0.0386542591267,LOGAN SQUARE,100.05756668057336
